name, phone
Pizzería D´Bruno,442 135 8498
Crécola,442 312 2376
La Piccola Italia ( Pizza Pasta E Qualcosa In Piú ),442 300 1619
Pizzería Alto Horno,442 273 6366
Rayuela pizza,442 212 7166
La Sagrada Pizza,442 245 5116
Il Diávolo,442 223 0996
Pizzería La Tómbola,442 216 9559
Ristorante Bar Nabucco,442 215 0870
PIU Pizza Artesanal Av. del Parque,442 295 0430
Güero's Pizza Querétaro,442 215 5269
Gusto Mio,442 212 6238
"La Vieja Varsovia - Pan, Pizza and Bistro",442 212 5117
ALPASO PIZZERIA,442 193 3131
Sinatra Pizzería,442 537 7452
Pizzería Gourmet Santa Sabina,442 480 8067
Bogati Pizza,442 212 5973
"Pizzas Corleone, S.A. De C.V.",442 224 0038
ALPASO PIZZERIA,442 193 3131
Twins Pizza,442 212 8963
Quiz Pizzas,442 167 4150
Raffaelos Pizza,442 779 1351
Universo Pizza,442 243 3543
Ranni's Pizza,442 253 9999
PILI-PILI Pizzas Queretaro,442 736 8532
Napoli Pizza,442 538 8003
Arrabiata Pizza,442 675 5541
Yunik pizza,442 213 4409
Il Forno Pizzeria,442 484 2841
"TRATTORIA DA PULCINELLA CENTRO, QUERÉTARO.",442 213 6853
Alpino Pizza,442 780 5948
Di Vino Italian Restaurant,442 214 1273
Pizza Tec,442 172 0457
Kraken Pizza,442 213 4836
Abuelita´s Pizza,442 253 7414
Brutus Pizza,442 711 6843
Don Pizza,442 209 2712
Tonino´s,442 218 2148
Marcello's plant based pizza,442 331 2003
Vicana pizzería,442 160 5790
Big Tino's chicago style deep dish,442 586 7834
ALPASO PIZZERIA,442 193 3131
Tonino´s Pizza,442 220 6483
Ke-Pizzas,442 537 5090
Pizza & Love,442 728 8737
Pizzería Atesanal El Gallo Negro,446 151 5335
Bang Bang Pizzas Querétaro,442 116 5858
Toogy's Pizza,442 217 3100
Quiz Pizza,442 215 1657
SANTINO'S PIZZA.,442 777 8583
Piccolo Pizza,667 179 1264
Ristorante Cosi Fan Tutte Alamos,442 214 5179
Albrizzo 302 Pizza e Burger,442 505 3100
Durango´s Pizza,442 199 2839
Pizza Industry Belen,442 527 2200
slicers pizza,442 744 6127
Siniestro Pizza & Pociones®️,442 547 1142
Pizzería Zapata,442 218 1307
"Aldo´s Pizza ""Palmas""",442 248 2020
Pizza Industry Av de la Luz,442 199 2894
Pizzería Zapata,442 218 1307
Little Caesars Pie de la Cuesta,442 246 3141
Güero's Pizza Express,744 211 5457
Boyo's Pizza Jardines,442 325 8093
Benedetti's Pizza Milenio III,442 195 4747
Don Calzone,442 340 4614
Pronto pizza,442 285 1090
Pizzería La Pizza,442 718 5912
Pizza Gallos,442 141 2311
Pizzeria ranzani4,442 641 6987
Pizzeria Milan,442 199 4470
Promo Pizza Centro,442 295 6224
Vito's Pizza Villas de Santiago,442 243 1663
BuonaPizza,442 228 4350
FRATELLI`S PIZZA SUC. BELEN,442 243 0977
Cheff Pizza,442 215 0458
Pizza York,442 429 0530
Trattoria la Nonna Qro,442 419 1927
Pizza York,442 429 0530
Betty's Pizza,442 234 6767
Pizzeria L' Strega,442 669 9826
"CHIPPIZZ PIZZA, BELÉN 550A",442 321 0417
Donkey's Pizza,744 239 8289
Rannis Pizza Satelite,442 218 8333
Rizzos Pizza,442 222 2424
Zapata Pizza,442 331 0852
PIZZA UNIMENTE,442 182 2138
Fratelli's Pizza,442 384 7631
Mr. Nitto's,442 271 4325
California Pizza Kitchen,Pisos 0 y 1 · Galerías Querétaro
Castello Pizza,442 589 5981
Pronto pizza,441 223 5481
Cheese Up! Pizza,442 248 4169
Smiley's Wings & Pizza Zona Peñaflor,"Cto. Puerta del Sol 223-Local 6, 76116 Santiago de Querétaro, Qro."
Abuelita's Pizza Av. del parque,442 222 9827
Barrios Pizza,442 584 2091
Zapata Pizza,442 215 6580
Peppe's Pizza,442 690 6304
Toscano Pizza & Espressos,442 193 2922
Trapani Pizza,442 196 9240
Brunelli Pizza,442 725 6042
Little Caesars Pizza,442 220 0864
CHEPES PIZZA,442 269 7473
Pizzas Chispas,"76000, C. Benito Juárez Sur 22, Centro, 76000 Santiago de Querétaro, Qro."
PizzaYork,442 222 1540
il patio,442 253 9994
La Pizza,442 825 4263
El Galpón,442 169 1582
Little Caesars,442 224 2770
JULIO'S PIZZA,442 184 2595
GALIA. Postrería & Pizza.,442 174 4876
La Pizzoleta,442 825 4263
LA MIA PIZZA (Pizzería/Food Truck/Catering),442 110 7724
MAMBA Pizza Co. (Av. Pie de la cuesta),442 227 6806
Arcos Aureos De Queretaro,442 223 7459
Pizza Hut Querétaro Constituyentes,55 1515 3737
