name, phone
Pizza Hut Querétaro Constituyentes,55 1515 3737
Pronto pizza,442 285 1090
La Piccola Italia ( Pizza Pasta E Qualcosa In Piú ),442 300 1619
Donkey's Pizza,744 239 8289
"La Vieja Varsovia - Pan, Pizza and Bistro",442 212 5117
Di Vino Italian Restaurant,442 214 1273
Pizzalandia,442 494 9588
"TRATTORIA DA PULCINELLA CENTRO, QUERÉTARO.",442 212 5577
Gusto Mio,442 212 6238
Don Calzone,442 340 4614
Sinatra Pizzería,442 537 7452
Pronto pizza,441 223 5481
Güero's Pizza Querétaro,442 215 5269
Pizzería La Tómbola,442 216 9559
Pizzas Chispas,"76000, C. Benito Juárez Sur 22, Centro, 76000 Santiago de Querétaro, Qro."
Il Diávolo,Haz un pedido
ALPASO PIZZERIA,442 223 0996
Sonora Grill Puerta La Victoria,442 419 1927
Crécola,442 312 2376
Trattoria la Nonna Qro,442 419 1927
Bogati Pizza,442 273 6366
