name, phone
Crécola,442 312 2376
La Piccola Italia ( Pizza Pasta E Qualcosa In Piú ),442 300 1619
Pizzería Alto Horno,442 273 6366
Pizzería D´Bruno,442 135 8498
La Sagrada Pizza,442 245 5116
Rayuela pizza,442 212 7166
Il Diávolo,442 223 0996
PIU Pizza Artesanal Av. del Parque,442 295 0430
Ristorante Bar Nabucco,442 215 0870
Pizzería La Tómbola,442 216 9559
Sinatra Pizzería,442 537 7452
"Pizzas Corleone, S.A. De C.V.",442 224 0038
ALPASO PIZZERIA,442 193 3131
Güero's Pizza Querétaro,442 215 5269
Gusto Mio,442 212 6238
"La Vieja Varsovia - Pan, Pizza and Bistro",442 212 6238
"La Vieja Varsovia - Pan, Pizza and Bistro",442 212 5117
Ranni's Pizza,442 253 9999
The italian Pizza Qro,442 713 0411
Yunik pizza,442 213 4409
Pizza Tec,442 213 4409
Twins Pizza,442 212 8963
ALPASO PIZZERIA,442 193 3131
Güero's Pizza Querétaro,442 215 5269
"TRATTORIA DA PULCINELLA CENTRO, QUERÉTARO.",442 212 5577
Ipanema Pizza Buffete,442 213 6853
Bogati Pizza,442 212 5973
Brutus Pizza,442 711 6843
Abuelita´s Pizza,442 253 7414
Raffaelos Pizza,442 779 1351
Universo Pizza,442 779 1351
Di Vino Italian Restaurant,442 214 1273
Quiz Pizzas,442 167 4150
Don Pizza,442 209 2712
Tonino´s,442 218 2148
Big Tino's chicago style deep dish,442 586 7834
Quiz Pizza,442 215 1657
Vito's Pizza Villas de Santiago,442 243 1663
il Pizzaiolo,442 286 6554
PILI-PILI Pizzas Queretaro,442 736 8532
Manduka,442 736 8532
